"Library","analysis","date","description","perfomed_by","samples"
1,"RNAseq","2/14/2022","Training - Serie 1 AC16 Marco","imtc","1H_IR;1H_IR_+_DOXY;3H_IR;3H_IR_+_DOXY;AC16 LVX N3 CT 12h Ischemia;AC16 LVX N3 CT + doxy 12h Ischemia;AC16 LVX N3 12h Ischemia;AC16 LVX N3 12h Ischemia + doxy "
2,"RNAseq","3/15/2022","Serie 2 AC16 Marco","imtc","AC16 LVX N3 CT 12h Ischemia;AC16 LVX N3 CT + doxy 12h Ischemia;AC16 LVX N3 12h Ischemia;AC16 LVX N3 12h Ischemia + doxy ;AC16 LVX N3 CT 1h IR;AC16 LVX N3 CT + doxy 1h IR;AC16 LVX N3 1h IR;AC16 LVX N3 1h IR + doxy ;AC16 LVX N3 CT 3h IR;AC16 LVX N3 CT + doxy 3h IR;AC16 LVX N3 3h IR;AC16 LVX N3 3h IR + doxy ;AC16 LVX N3 CT 6h IR;AC16 LVX N3 CT + doxy 6h IR;AC16 LVX N3 6h IR;AC16 LVX N3 6h IR + doxy ;AC16 LVX N3 CT 24h IR;AC16 LVX N3 CT + doxy 24h IR;AC16 LVX N3 24h IR;AC16 LVX N3 24h IR + doxy ;AC16 LVX N3 CT 48h IR;AC16 LVX N3 CT + doxy 48h IR;AC16 LVX N3 48h IR;AC16 LVX N3 48h IR + doxy "
3,"RNAseq","4/13/2022","Serie 3 AC16 Marco","imtc","CT_12H_ISCHEMIA;CT_12H_ISCHEMIA_+_DOXY;12H_ISCHEMIA;12H_ISCHEMIA_+_DOXY;CT_1H_IR;CT_1H_IR_+_DOXY;1H_IR;1H_IR_+_DOXY;CT_3H_IR;CT_3H_IR_+_DOXY;3H_IR;3H_IR_+_DOXY;CT_6H_IR;CT_6H_IR_+_DOXY;6H_IR;6H_IR_+_DOXY;CT_24H_IR;CT_24H_IR_+_DOXY;24H_IR;24H_IR_+_DOXY;CT_48H_IR;CT_48H_IR_+_DOXY;48H_IR;48H_IR_+_DOXY"
4,"RNAseq",,"Serie 1 Marco + DG-PA","imtc","AC16 LVX N3 CT 1h IR;AC16 LVX N3 CT + doxy 1h IR;AC16 LVX N3 CT 3h IR;AC16 LVX N3 CT + doxy 3h IR;AC16 LVX N3 CT 6h IR;AC16 LVX N3 CT + doxy 6h IR;AC16 LVX N3 6h IR;AC16 LVX N3 6h IR + doxy ;AC16 LVX N3 CT 24h IR;AC16 LVX N3 CT + doxy 24h IR;AC16 LVX N3 24h IR;AC16 LVX N3 24h IR + doxy ;AC16 LVX N3 CT 48h IR;AC16 LVX N3 CT + doxy 48h IR;AC16 LVX N3 48h IR;AC16 LVX N3 48h IR + doxy ;DG1551;DG1567;DG1664;DG1675;PA1480;PA1441;PA1492;PA1495"
5,"WES","3/28/2022","Training - EM","imtc","EM_39;EM_40;EM_41;EM_42;EM_43;EM_44;EM_45;EM_46;EM_47;EM_48;EM_49;PA_1381;PA_1382;PA_1341;PA_1423;BR_885;PA_132;DG_1757;PA_121;DG_1413b;PA_1493;DG_1992;DG_1991;PA_1501"
6,"WES","4/15/2022","Br-Dg Auto Ab","imtc","BrDg2019;dg1969;br898;br910;dg1936;br930;dg2034;dg1937;dg1931;dg1968;dg1944;br907;dg2035;BrDg1995;BrDg1996;BrDg1997;BrDg2001;dg1942;BrDg2009;br917;br915;br905;dg1921;"
8,"RNAseq","5/9/2022","NEW PBMCs","imtc","Dg1775;Dg1776;Dg1777;Dg1792;Dg1793;Dg1794;Dg1801;Dg1802;Dg1803;Dg1834;Dg1835;Dg1836;Dg1917;Dg1918;Dg1919;Dg1921;Dg1923;Dg1941;Dg1942;Dg1943;Dg1958;Dg1959;Dg1991;Dg1992;Dg1993;Dg1760;Dg1761;Dg1762;Dg1749;Dg1750;Dg1751;Dg1710;Dg1711;Dg1712;Dg1671;Dg1672;Dg2075;Dg2074;Dg2073;Dg2072;Dg2051;Dg2050;Dg2049;Dg2048;Dg2024;Dg2077;Dg2013;Dg2011"
9,"RNAseq","5/12/2022","NEW PBMCs","imtc","Dg1800;Dg1804;Dg1799;Dg1798;Dg1797;Dg1796;Dg1795;Dg1976;Dg1822;Dg1983;Dg1982;Dg1981;Dg1980;Dg1807;Dg1808;Dg1809;Dg1810;Dg1811;Dg1979;Dg1978;Dg2012;Dg2010;Dg1816;Dg1817;Dg1818;Dg1819;Dg1820;Dg1821;Dg496;Dg498;Dg500;Dg503;Dg507;Br285;Br360;Dg506;Dg549;Dg573;Dg567;Dg568;Dg563;Dg444;Dg446;Dg421;Dg417;Dg371;Dg400;Dg405"
10,"RNAseq","7/13/2022","Pre-Post abl","imtc","BrDg1539 (Pz814);BrPA1431 (Pz814);BrDg1586 (Pz817);BrPA1457 (Pz817);BrDg1587 (Pz818);BrPA1464 (Pz818);BrDg1591 (Pz819);BrPA1435 (Pz819);BrDg1589 (Pz820);BrPA1456 (Pz820);BrDg1584 (Pz821);BrPA1449 (Pz821);BrPA1455 (Pz822);BrDg1608 (Pz823);BrPA1467 (Pz823);BrDg1610 (Pz824);BrPA1466 (Pz824);BrPA1465 (Pz826);BrDg1612 (Pz827);BrPA1468 (Pz827);BrDg1644 (Pz834);BrPA1503 (Pz834);BrDg1656 (Pz836);BrPA1506 (Pz836);BrDg1719 (Pz868);BrPA1643 (Pz868);BrDg1753 (Pz879);BrPA1651 (Pz879);BrDg1718 (Pz867);BrPA1644 (Pz867);BrDg1751 (Pz888);BrPA1664 (Pz888);BrDg657 (Pz506);BrPA637 (Pz506);BrDg693 (Pz519);BrPA710 (Pz519);BrDg721 (Pz534);BrPA805 (Pz534);BrDg804 (Pz532);BrPA816 (Pz532);BrDg765 (Pz541);BrPA829 (Pz541);BrDg658 (Pz508);BrPA930 (Pz508);BrDg1590 (Pz822);BrDg1611 (Pz826);BrDg1409 (Pz739);BrPA1305 (Pz739)"
11,"WES","6/22/2022","Br-Dg Auto Ab + EM","imtc","Dg1603;Dg1679;Dg1695;Dg1844;Dg1928;Dg1940;Dg1952;Dg1953;Dg1969;Dg1988;Dg1989;Dg1992;Dg1993;Dg1999;Dg2008;Dg2019;Dg2020;Dg2024;EM076;EM089;EM093;EM094;EM095;EM200"
