0,4,16,12,-9,-4,13,13,-106,-80,-113,-133,-153
1,-6,6,13,0,-10,9,0,-106,-80,-120,-146,-160
2,-13,4,17,5,-16,10,-6,-100,-80,-120,-146,-153
3,-13,0,13,6,-13,6,-13,-93,-80,-120,-146,-146
4,-22,9,32,6,-28,20,-13,-100,-80,-126,-146,-153
5,-26,6,33,10,-30,20,-13,-106,-80,-133,-146,-146
6,-33,0,33,17,-33,16,-13,-106,-86,-133,-153,-140
7,-40,0,40,20,-40,20,-13,-120,-93,-133,-160,-146
8,-20,4,24,8,-22,13,-13,-120,-86,-140,-160,-153
9,-6,6,13,0,-10,9,-13,-120,-80,-146,-160,-160
10,-6,9,16,-1,-12,12,-6,-113,-86,-146,-166,-166
11,-6,6,13,0,-10,9,0,-106,-93,-146,-160,-160
12,-6,10,17,-1,-12,13,0,-113,-86,-146,-160,-160
13,0,0,0,0,0,0,0,-120,-80,-146,-160,-160
14,-6,-2,4,5,-5,0,0,-106,-80,-140,-160,-153
15,-13,-6,6,10,-10,0,13,-106,-80,-133,-160,-146
16,-4,-4,0,4,-2,-2,20,-100,-80,-140,-160,-146
17,-13,-6,6,10,-10,0,13,-93,-80,-146,-160,-146
18,-6,-6,0,6,-4,-4,6,-93,-80,-140,-160,-146
19,-6,-6,0,6,-4,-4,0,-93,-80,-133,-160,-146
20,-9,-6,2,8,-6,-2,13,-106,-80,-133,-160,-146
21,-13,-6,6,10,-10,0,13,-106,-80,-120,-146,-133
22,-22,-9,13,16,-18,1,13,-100,-100,-120,-140,-133
23,-20,-6,13,13,-17,2,0,-106,-93,-120,-133,-133
24,-17,-9,8,13,-13,-1,0,-106,-100,-126,-140,-140
25,-6,-13,-6,10,0,-10,13,-106,-106,-133,-160,-146
26,-10,-10,0,10,-5,-5,6,-86,-86,-126,-146,-146
27,-6,-6,0,6,-4,-4,13,-80,-80,-120,-146,-146
28,0,-2,-2,1,1,-2,20,-66,-60,-106,-146,-146
29,-6,6,13,0,-10,9,40,-53,-53,-93,-133,-146
30,-9,9,18,0,-14,13,53,-53,-13,-80,-133,-160
31,-26,26,53,0,-40,40,66,-40,13,-53,-120,-160
32,-42,40,82,1,-62,61,80,-26,73,-6,-100,-160
33,-60,53,113,4,-86,82,106,-13,120,26,-80,-160
